radial:alignment:topleft-bottomleft,pref:radial:alignment:topleft-bottomleft,radial:alignment:bottomleft-left,pref:radial:alignment:bottomleft-left,radial:alignment:topleft-left,pref:radial:alignment:topleft-left,radial:distance:close-med,pref:radial:distance:close-med,radial:distance:med-far,pref:radial:distance:med-far,radial:distance:close-far,pref:radial:distance:close-far,grid:alignment:topleft-bottomleft,pref:grid:alignment:topleft-bottomleft,grid:alignment:topleft-left,pref:grid:alignment:topleft-left,grid:alignment:bottomleft-left,pref:grid:alignment:bottomleft-left,pref:grid:distance:close-med,grid:distance:med-far,pref:grid:distance:med-far,grid:distance:close-far,pref:grid:distance:close-far,grid:distance:close-med
1,100,2,81,2,50,2,100,2,85,2,100,1,100,2,84,2,100,100,1,84,2,100,2
1,13,2,17,2,69,2,2,2,8,2,12,2,9,2,9,2,17,52,2,45,1,44,1
2,6,1,3,1,5,2,54,2,39,2,33,1,19,1,25,1,18,59,2,24,2,62,2
2,1,1,6,2,3,1,29,1,9,1,32,1,34,2,18,1,19,17,1,16,1,21,1
1,48,2,50,2,41,2,12,2,3,1,45,1,48,2,47,2,53,53,1,54,1,71,1
2,12,2,26,2,30,2,41,2,23,2,29,1,26,2,47,2,20,64,1,39,2,47,2
2,44,2,52,2,46,1,52,1,56,1,49,2,50,2,51,2,51,52,1,52,1,55,1
2,92,1,100,2,61,2,64,1,22,1,37,2,90,2,25,1,71,45,1,5,1,45,2
1,83,2,93,2,100,2,71,2,6,2,65,1,63,2,91,2,82,70,1,5,2,72,2
1,60,2,27,2,17,2,38,1,16,2,36,1,48,1,26,1,19,52,1,36,2,55,2
1,25,2,45,2,44,2,14,2,11,2,7,1,12,1,18,1,16,16,1,9,2,14,2
1,32,2,19,2,12,2,17,2,26,2,10,1,71,1,15,2,6,10,2,11,1,3,2
2,38,1,23,1,17,2,79,1,33,2,76,2,75,1,70,1,74,76,2,77,2,78,2
1,83,2,79,1,87,2,83,1,77,2,73,1,81,1,78,2,75,79,1,85,2,81,2
2,46,2,39,1,48,1,18,1,22,1,26,2,4,2,13,1,11,14,2,46,2,29,2
1,80,2,70,2,59,2,62,1,63,2,56,2,69,1,68,2,64,66,1,69,2,64,2
1,52,2,34,1,77,2,75,1,21,2,3,1,49,1,49,2,22,68,1,34,2,60,2
1,52,2,82,2,59,1,48,1,54,1,79,2,39,2,67,2,64,54,2,52,1,72,1
1,29,2,5,2,6,1,44,1,27,1,33,1,20,1,23,2,16,16,2,11,1,17,1
1,60,2,53,2,55,1,63,1,25,1,59,2,68,2,59,2,60,47,2,59,1,76,1
1,58,2,73,2,70,1,60,2,73,1,73,2,72,2,61,2,70,54,1,68,1,74,1
2,49,1,67,2,55,2,60,1,56,1,55,2,57,2,64,1,58,64,1,63,1,63,2
1,64,2,100,2,89,2,61,1,17,2,26,1,41,2,55,2,75,16,2,63,2,53,2
1,93,1,70,1,64,2,71,1,72,1,33,1,64,1,69,2,59,53,1,63,2,64,1
1,100,2,77,2,100,2,72,1,8,2,100,2,88,2,91,2,64,72,2,95,2,97,1
1,23,1,17,1,34,2,48,2,35,2,27,2,27,1,11,1,19,20,2,15,2,6,2
2,90,1,80,2,86,2,85,1,90,2,90,1,85,1,86,1,89,92,1,86,2,87,2
1,49,2,72,2,46,2,75,1,36,2,100,1,30,1,64,2,45,76,1,34,2,77,2
1,64,2,81,2,100,1,78,1,85,1,71,1,70,2,87,1,73,84,1,78,1,76,1
2,87,2,89,2,94,2,100,1,84,2,100,2,66,2,87,2,85,70,1,91,2,95,2
1,3,2,44,1,57,2,1,1,3,2,3,1,4,1,5,1,4,3,2,8,2,4,2
1,44,2,13,2,15,2,46,1,66,1,5,1,62,1,8,2,36,38,1,30,1,24,2
1,9,2,11,2,6,2,32,1,17,1,16,1,12,2,19,2,10,11,1,14,1,13,2
2,45,1,41,1,38,2,55,1,57,2,39,1,55,1,57,1,56,67,1,49,2,82,2
2,10,2,11,1,10,2,11,1,1,2,4,1,51,1,56,2,59,25,1,1,2,4,2
2,72,1,50,2,28,2,64,2,23,2,70,2,83,2,17,1,31,42,1,49,2,53,2
2,74,2,82,2,57,2,57,2,85,2,41,2,28,2,74,2,46,54,2,18,2,74,2
1,61,2,64,1,60,2,66,2,63,2,65,1,65,1,69,2,66,70,1,66,2,65,2
1,100,2,100,1,98,2,98,1,99,2,100,1,100,1,99,2,100,100,1,100,2,100,2
2,46,2,59,2,55,2,6,2,32,2,17,2,12,2,52,2,33,31,2,25,2,15,1
1,66,2,70,2,61,2,64,2,0,2,67,2,49,1,29,1,45,47,2,53,2,52,2
1,48,2,42,2,49,2,49,1,52,1,45,1,48,1,47,2,48,42,1,46,1,38,2
2,20,1,24,1,0,2,40,1,49,2,64,2,30,1,62,1,23,66,1,54,2,71,2
1,2,2,26,2,25,2,39,1,1,2,54,1,13,2,8,2,19,10,2,11,2,24,2
2,71,2,73,2,52,1,72,1,75,1,79,2,60,2,77,1,65,19,1,52,1,18,1
1,47,2,54,2,32,2,50,1,54,2,64,1,45,2,45,2,60,45,1,73,2,53,2
2,72,1,28,1,45,2,47,1,45,2,30,1,46,2,79,2,36,48,2,43,1,52,1
1,79,2,100,2,96,2,72,1,51,2,57,1,63,2,74,1,86,79,2,89,2,76,2
2,38,2,72,2,77,2,10,1,21,1,15,1,81,2,58,2,84,22,2,18,2,10,1
1,0,1,1,1,0,1,0,2,0,1,0,1,0,2,0,1,0,0,1,0,2,0,1
1,30,2,64,2,20,1,18,1,21,1,21,2,26,2,42,2,36,37,2,46,2,30,2
1,19,2,17,2,51,2,76,1,3,2,67,1,65,1,73,2,75,40,1,86,2,57,2
1,40,2,40,2,17,2,38,2,30,2,28,1,45,2,34,2,24,44,2,36,2,44,2
1,70,2,51,2,66,2,46,2,46,1,51,1,72,1,55,2,60,51,2,63,1,54,1
2,84,1,67,1,48,2,66,1,2,2,78,1,77,1,69,1,62,67,2,100,2,86,2
1,69,2,58,2,42,2,56,1,23,2,28,1,46,1,57,2,71,50,1,22,2,16,2
2,55,2,52,2,51,2,1,2,16,2,2,2,3,2,5,1,5,7,2,3,2,6,2
1,100,1,100,1,100,2,100,1,1,2,100,1,100,1,100,1,100,100,2,100,2,100,2
2,4,2,5,2,5,2,11,1,8,2,6,1,5,2,17,2,8,15,2,12,2,8,2
1,30,2,76,2,96,1,28,1,10,1,60,1,64,2,73,2,68,24,1,67,1,34,1
1,51,2,39,1,25,2,14,1,5,2,10,1,24,1,22,2,11,26,1,3,2,17,2
2,79,1,78,1,64,2,76,1,78,2,70,1,67,1,78,1,82,80,1,82,2,69,2
1,4,2,47,2,41,2,91,1,40,2,20,2,60,2,32,2,61,34,1,35,2,45,2
2,6,2,57,2,56,2,84,1,21,2,79,2,48,1,58,2,28,79,1,74,2,72,2
2,82,1,70,2,77,2,68,2,80,2,72,2,75,1,78,1,78,78,2,77,2,70,2
1,11,1,9,1,33,1,24,1,22,1,12,1,21,1,12,1,21,29,1,27,1,22,2
1,30,1,40,1,57,2,45,2,56,2,56,1,45,1,35,1,36,57,2,50,2,56,2
2,15,2,50,2,77,2,37,1,19,1,9,1,18,2,68,2,46,15,2,12,1,3,2
1,59,2,60,1,56,2,62,1,55,2,70,2,67,1,79,2,74,80,1,65,1,60,1
1,60,1,64,1,58,1,77,2,62,1,69,1,68,1,67,1,55,58,1,79,2,87,2
2,50,2,54,2,62,2,48,2,47,2,48,2,51,2,43,2,45,40,2,47,2,41,2
1,23,2,30,2,19,1,7,1,30,1,52,1,30,2,95,2,83,60,1,47,1,16,1
1,7,2,25,2,21,1,20,1,0,1,19,1,23,2,37,2,35,5,1,8,1,33,1
2,25,1,3,1,2,1,57,1,31,1,21,1,39,2,40,2,61,49,1,34,1,56,1
2,7,2,10,2,7,2,23,2,3,2,9,2,31,2,21,2,30,31,1,39,2,42,2
1,42,1,50,1,33,1,66,1,57,1,73,1,42,1,62,1,33,48,1,45,1,39,1
